"No geral, estou satisfeita ou satisfeito com quão fácil é utilizar o ViVAGAS ",É simples usar o ViVAGASUFCG,Pude concluir as atividades do cenários proposto de forma rápida,Pude concluir as atividades do cenários proposto de forma eficiente,Eu me sinto confortável utilizando o ViVAGASUFCG,Foi fácil aprender a utilizar o ViVAGASUFCG,Eu acredito que me tornei rapidamente produtiva ou produtivo utilizando este sistema,"O ViVAGAS exibe mensagens de erro que me dizem como corrigir/solucionar os problemas (Ex.: Erro ao fazer login com emails que não são @ccc, @copin, @computacao)","Sempre que cometo erros utilizando o sistema, consigo voltar a utilizar o ViVAGASUFCG com facilidade e rapidez","As informações fornecidas por este sistema (como ajuda on-line, mensagens na tela e outra documentação) são claras",É fácil encontrar a informação que preciso no ViVAGASUFCG,As informações providas pelo VIVAGASUFCG são fáceis de entender,As informações providas pelo ViVAGAS são eficazes em me ajudar a concluir o cenário proposto,A organização das informações nas telas do ViVAGASUFCG é clara,A interface do ViVAGASUFCG é agradável,Eu gosto de usar a interface do sistema,O ViVAGASUFCG possui as funcionalidades e recurso que eu espero que ele tenha,"No geral, estou satisfeita ou satisfeito com o ViVAGASUFCG"
6,7,7,6,7,7,4,6,6,7,7,7,7,7,7,7,6,7
7,7,6,6,7,7,6,5,7,6,6,7,7,6,7,7,7,7
6,7,5,5,6,6,5,3,5,5,5,6,6,4,7,7,6,7
6,6,5,5,6,7,5,6,7,7,7,7,7,6,6,6,6,6
6,6,6,6,6,7,4,7,7,7,6,7,7,7,6,6,6,6
6,7,6,6,7,7,7,5,5,7,7,7,6,7,7,7,6,7
7,7,7,6,7,7,7,5,5,7,7,7,7,4,3,4,7,6
7,7,7,6,7,7,7,7,6,5,7,7,7,7,6,6,6,6
7,7,7,7,7,7,6,7,7,7,7,6,6,6,7,7,6,7
7,7,6,7,7,7,3,6,6,7,7,7,7,4,5,6,6,7
7,7,7,7,7,7,5,6,7,7,7,7,7,6,6,6,7,7
5,7,6,4,7,7,6,3,7,5,5,6,6,7,7,7,7,7
7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
7,7,7,7,7,7,6,6,7,7,6,6,7,7,4,5,7,6
7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6
7,7,7,7,7,7,7,4,4,4,7,7,7,7,7,7,7,7
7,7,6,6,7,7,7,6,6,6,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,7,7,7
6,7,6,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7
7,7,7,7,7,7,5,7,7,7,7,7,7,7,5,5,5,7
6,6,3,4,7,6,5,7,5,7,7,5,6,6,7,7,6,7
7,7,7,7,7,7,7,7,7,7,2,6,7,6,6,7,7,7
7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7
