Carimbo de data/hora,Pontuação,"No geral, estou satisfeita ou satisfeito com quão fácil é utilizar o ViVAGAS ",É simples usar o ViVAGASUFCG,Pude concluir as atividades do cenários proposto de forma rápida,Pude concluir as atividades do cenários proposto de forma eficiente,Eu me sinto confortável utilizando o ViVAGASUFCG,Foi fácil aprender a utilizar o ViVAGASUFCG,Eu acredito que me tornei rapidamente produtiva ou produtivo utilizando este sistema,"O ViVAGAS exibe mensagens de erro que me dizem como corrigir/solucionar os problemas (Ex.: Erro ao fazer login com emails que não são @ccc, @copin, @computacao)","Sempre que cometo erros utilizando o sistema, consigo voltar a utilizar o ViVAGASUFCG com facilidade e rapidez","As informações fornecidas por este sistema (como ajuda on-line, mensagens na tela e outra documentação) são claras",É fácil encontrar a informação que preciso no ViVAGASUFCG,As informações providas pelo VIVAGASUFCG são fáceis de entender,As informações providas pelo ViVAGAS são eficazes em me ajudar a concluir o cenário proposto,A organização das informações nas telas do ViVAGASUFCG é clara,A interface do ViVAGASUFCG é agradável,Eu gosto de usar a interface do sistema,O ViVAGASUFCG possui as funcionalidades e recurso que eu espero que ele tenha,"No geral, estou satisfeita ou satisfeito com o ViVAGASUFCG",Alguma sugestão ou comentário? Fique livre para fazê-lo abaixo :)
02/11/2023 21:13:22,,6,7,7,6,7,7,4,6,6,7,7,7,7,7,7,7,6,7,
02/11/2023 21:21:04,,7,7,6,6,7,7,6,5,7,6,6,7,7,6,7,7,7,7,"A proposta e a implementação do MVP está excelente! Uma questão, que pela minha experiência no uso da ferramenta parece fazer mais sentido, seria adicionar o preenchimento do formulário de cadastro no fluxo de cadastro de um novo usuário - faço meu primeiro login e sou levado à tela de cadastro para preencher minhas informações gerais. Em versões mais amadurecidas - que espero que tenha e que o sistema seja implantado, pois será de bom uso e facilidade - informações como o histórico e o currículo poderiam ser adicionadas depois, mas mantendo uma notificação ao usuário de que ele deve completar informações vinculadas ao seu perfil.  Mais uma vez, parabéns pelo trabalho! "
02/11/2023 21:29:44,,6,7,5,5,6,6,5,3,5,5,5,6,6,4,7,7,6,7,"Muito bom!! Acho que esse sistema tem uma capacidade muito grande para ser utilizado pelo pessoal do nosso curso! 

Como sugestão deixo a ideia de que seria interessante que as vagas que eu estou inscrito não aparececem mais na página de vagas pra inscrições, ou que o botão de inscrição não fosse habilitado para estas. Atualmente parece que a operação de inscrição não foi concluída devido, já que o estado da listagem de vagas não muda"
02/11/2023 21:33:30,,6,6,5,5,6,7,5,6,7,7,7,7,7,6,6,6,6,6,"- Quando tento me inscrever para uma vaga sem ter feito o cadastro aparece uma notificação de erro que não deixa muito clara que é por esse motivo que eu não consegui me cadastrar;
- A parte de enviar o currículo e o histórico, além de ser possível arrastar e soltar, poderia ser também por meio de um botão de upload, para melhorar a acessibilidade. Eu vi que no textinho do histórico oferece a opção de clicar, mas pelo menos aqui não consegui fazer upload clicando;

No mais, o sistema tem um potencial incrível!! Com certeza depois de ser lapidado tem muita chance de ser adotado!
"
02/11/2023 21:34:04,,6,6,6,6,6,7,4,7,7,7,6,7,7,7,6,6,6,6,"Quando você tenta se candidatar numa vaga sem ter realizado o cadastro, aparece apenas uma notificação de erro qualquer que não deixa claro que você só consegue se candidatar em uma vaga se já tiver realizado o cadastro anteriormente. Também notei que os cards azuis são de tamanhos diferentes, talvez isso deixe as informações visualmente distantes uma das outras."
02/11/2023 21:38:23,,6,7,6,6,7,7,7,5,5,7,7,7,6,7,7,7,6,7,"Poderia ter uma mensagem de aviso específica para quando tento me candidatar sem ter feito o cadastro. Talvez fosse interessante haver uma segunda checagem antes de se candidatar na vaga caso o aluno clique sem querer (já q n tem como cancelar a inscrição). Também não recebi mensagem de confirmação que tava tudo ok no meu cadastro, coloquei o meu curriculo e quando apaguei e queria colocar outro não estava funcionando (dei refresh e não voltou a se repetir). Quando me inscrevo em uma vaga ele recarrega pra outras paginas (página do cadastro uma vez, página de bem-vindo, na outra, que diz bem-vindo com meu nome mas pede para eu logar com o google de novo, ou então o botão com o logout) Acho que o ideal seria se manter na página de vagas ao fechar a mensagem de inscrição feita. Talvez fosse interessante que em vagas em que já estou inscrita aparecesse ""inscrito"" ao invés de ""candidatar-se"". Outro ponto é que nos detalhes das vagas a carga horária está repetindo o valor das bolsas."
02/11/2023 21:41:06,,7,7,7,6,7,7,7,5,5,7,7,7,7,4,3,4,7,6,"Amei a ideia, um tema muito importante que precisa ser mais evidenciado para facilitar a vida de todos os alunos e professores. Minha única ressalva é quanto ao design, particularmente não gostei dos quadrados flutuantes para listar as vagas, retângulos blocados em um lista trariam mais harmonia e entendimento de continuidade."
02/11/2023 21:52:07,,7,7,7,6,7,7,7,7,6,5,7,7,7,7,6,6,6,6,Notei que ao utilizar mais de um filtro na parte de vagas ele parece parar de funcionar o filtro
02/11/2023 22:11:25,,7,7,7,7,7,7,6,7,7,7,7,6,6,6,7,7,6,7,"Não sei se a tela de detalhamento das vagas está como default, mas todas estão iguais, aí não teve como testar se tava direcionando para a página especifica mesmo. Poderia ter um x no canto da caixinha de pesquisa para facilitar a forma de limpar o que já foi pesquisado anteriormente, igual tem para limpar os filtros, falando em limpar os filtros limpar de forma geral também seria legal, um botal ao lado limpar dados ou limpar filtros. No mais, parabéns, ficou incrível, gostei muito da organização dos elementos e a proposta é espetacular. "
02/11/2023 22:41:33,,7,7,6,7,7,7,3,6,6,7,7,7,7,4,5,6,6,7,
02/11/2023 22:48:19,,7,7,7,7,7,7,5,6,7,7,7,7,7,6,6,6,7,7,
